,Date,Region,Confirmed,Deaths,Recovered
0,01/22/2020,Hong Kong,0,0,0
1,01/22/2020,Japan,2,0,0
2,01/22/2020,Macau,1,0,0
3,01/22/2020,Mainland China,547,17,28
4,01/22/2020,South Korea,1,0,0
5,01/22/2020,Taiwan,1,0,0
6,01/22/2020,Thailand,2,0,0
7,01/22/2020,US,1,0,0
8,01/23/2020,Australia,0,0,0
9,01/23/2020,Brazil,0,0,0
10,01/23/2020,Colombia,0,0,0
11,01/23/2020,Hong Kong,2,0,0
12,01/23/2020,Japan,1,0,0
13,01/23/2020,Macau,2,0,0
14,01/23/2020,Mainland China,639,18,30
15,01/23/2020,Malaysia,0,0,0
16,01/23/2020,Mexico,0,0,0
17,01/23/2020,Philippines,0,0,0
18,01/23/2020,Singapore,1,0,0
19,01/23/2020,South Korea,1,0,0
20,01/23/2020,Taiwan,1,0,0
21,01/23/2020,Thailand,3,0,0
22,01/23/2020,US,1,0,0
23,01/23/2020,Vietnam,2,0,0
24,01/24/2020,France,2,0,0
25,01/24/2020,Hong Kong,2,0,0
26,01/24/2020,Japan,2,0,0
27,01/24/2020,Macau,2,0,0
28,01/24/2020,Mainland China,916,26,36
29,01/24/2020,Singapore,3,0,0
30,01/24/2020,South Korea,2,0,0
31,01/24/2020,Taiwan,3,0,0
32,01/24/2020,Thailand,5,0,0
33,01/24/2020,US,2,0,0
34,01/24/2020,Vietnam,2,0,0
35,01/25/2020,Australia,4,0,0
36,01/25/2020,France,3,0,0
37,01/25/2020,Hong Kong,5,0,0
38,01/25/2020,Japan,2,0,0
39,01/25/2020,Macau,2,0,0
40,01/25/2020,Mainland China,1399,42,39
41,01/25/2020,Malaysia,3,0,0
42,01/25/2020,Nepal,1,0,0
43,01/25/2020,Singapore,3,0,0
44,01/25/2020,South Korea,2,0,0
45,01/25/2020,Taiwan,3,0,0
46,01/25/2020,Thailand,7,0,0
47,01/25/2020,US,2,0,0
48,01/25/2020,Vietnam,2,0,0
49,01/26/2020,Australia,4,0,0
50,01/26/2020,Canada,1,0,0
51,01/26/2020,France,3,0,0
52,01/26/2020,Hong Kong,8,0,0
53,01/26/2020,Japan,4,0,1
54,01/26/2020,Macau,5,0,0
55,01/26/2020,Mainland China,2062,56,49
56,01/26/2020,Malaysia,4,0,0
57,01/26/2020,Nepal,1,0,0
58,01/26/2020,Singapore,4,0,0
59,01/26/2020,South Korea,3,0,0
60,01/26/2020,Taiwan,4,0,0
61,01/26/2020,Thailand,8,0,2
62,01/26/2020,US,5,0,0
63,01/26/2020,Vietnam,2,0,0
64,01/27/2020,Australia,5,0,0
65,01/27/2020,Cambodia,1,0,0
66,01/27/2020,Canada,1,0,0
